iter	Passed	Remaining
1351	55169	67248
1352	55208	67205
1353	55256	67173
1354	55296	67131
1355	55335	67087
1356	55376	67047
1357	55416	67005
1358	55459	66968
1359	55499	66925
1360	55538	66883
1361	55576	66838
1362	55614	66794
1363	55656	66755
1364	55699	66716
1365	55743	66679
1366	55781	66635
1367	55820	66592
1368	55860	66550
1369	55897	66505
1370	55937	66464
1371	55979	66424
1372	56019	66383
1373	56066	66349
1374	56104	66305
1375	56142	66260
1376	56182	66219
1377	56222	66177
1378	56264	66138
1379	56308	66101
1380	56348	66059
1381	56386	66015
1382	56428	65976
1383	56471	65937
1384	56516	65902
1385	56558	65862
1386	56606	65830
1387	56646	65788
1388	56684	65744
1389	56718	65695
1390	56756	65651
1391	56794	65607
1392	56843	65576
1393	56883	65534
1394	56928	65497
1395	56975	65464
1396	57014	65421
1397	57055	65380
1398	57095	65339
1399	57138	65301
1400	57178	65259
1401	57219	65218
1402	57257	65175
1403	57296	65131
1404	57344	65099
1405	57384	65057
1406	57424	65015
1407	57464	64973
1408	57503	64931
1409	57541	64886
1410	57579	64842
1411	57618	64800
1412	57652	64752
1413	57690	64708
1414	57735	64671
1415	57773	64628
1416	57815	64588
1417	57858	64550
1418	57892	64501
1419	57935	64463
1420	57973	64419
1421	58011	64376
1422	58051	64334
1423	58100	64302
1424	58139	64259
1425	58190	64230
1426	58230	64188
1427	58269	64145
1428	58320	64116
1429	58360	64074
1430	58410	64043
1431	58454	64005
1432	58494	63964
1433	58544	63933
1434	58591	63899
1435	58630	63856
1436	58671	63815
1437	58714	63777
1438	58753	63735
1439	58795	63695
1440	58841	63659
1441	58881	63618
1442	58922	63576
1443	58960	63534
1444	59006	63497
1445	59048	63458
1446	59091	63419
1447	59135	63382
1448	59181	63347
1449	59219	63303
1450	59259	63261
1451	59301	63222
1452	59346	63186
1453	59383	63141
1454	59426	63102
1455	59468	63063
1456	59506	63019
1457	59544	62974
1458	59580	62929
1459	59621	62888
1460	59666	62852
1461	59709	62813
1462	59752	62774
1463	59793	62734
1464	59834	62693
1465	59874	62651
1466	59913	62608
1467	59957	62571
1468	59996	62528
1469	60034	62484
1470	60073	62442
1471	60111	62398
1472	60149	62354
1473	60187	62310
1474	60227	62269
1475	60265	62225
1476	60309	62188
1477	60351	62148
1478	60395	62110
1479	60433	62066
1480	60473	62025
1481	60516	61986
1482	60555	61943
1483	60594	61900
1484	60635	61860
1485	60682	61825
1486	60728	61789
1487	60765	61745
1488	60804	61702
1489	60846	61662
1490	60887	61622
1491	60933	61587
1492	60972	61544
1493	61011	61501
1494	61049	61457
1495	61092	61419
1496	61135	61380
1497	61174	61337
1498	61217	61299
1499	61254	61254
1500	61314	61232
1501	61353	61190
